ID Caso	ID Caso Relacionado	Año	Mes	Día	Código DANE de Municipio	Municipio	Departamento	Región	Grupo Armado 1	Descripción Grupo Armado 1	Grupo Armado 2	Descripción Grupo Armado 2	Grupo Armado 3	Descripción Grupo Armado 3	Abandono o Despojo Forzado de Tierras	Amenaza o Intimidación	Ataque Contra Misión Médica	Confinamiento o Restricción a la Movilidad	Desplazamiento Forzado	Extorsión	Lesionados Civiles	Pillaje	Tortura	Violencia Basada en Género	Otro Hecho Simultáneo	Grupo al que Pertenecen los Capturados	Capturados	Escudo Humano	Lesionados Combatientes	Militares	Policías	Otras Fuerzas Armadas Estatales	Agentes del Estado Sin Información	Total Agentes del Estado	Guerrilleros	Paramilitares	Grupos Posdesmovilización	Combatientes Sin Información	Otros Grupos Armados Organizados	Total Combatientes de Grupos Armados Organizados	Total Combatientes	Personas Sin Información	Total Civiles	Ventaja Militar	Total de Víctimas del Caso	Latitud	Longitud
10902	CR020590	1997	01	28	27073	BAGADO	CHOCO	ATRATO	AGENTE DEL ESTADO	POLICÍA NACIONAL	GUERRILLA	ELN			0	1	0	0	0	0	2	1	0				0	0	3	0	6	0	0	6	0	0	0	0	0	0	6	0	0	GRUPOS ARMADOS ORGANIZADOS	6	5.41055496	-76.41529299
11932	CR201711932	1997	12	11	68464	MOGOTES	SANTANDER	PROVINCIA DE GUANENTA	AGENTE DEL ESTADO	POLICÍA NACIONAL	GUERRILLA	ELN			0	0	0	0	0	0	0	0	0				0	0	0	0	3	0	0	3	0	0	0	0	0	0	3	0	3	GRUPOS ARMADOS ORGANIZADOS	6	6.475209953	-72.96981379
13041	CR009075	1999	03	16	15790	TASCO	BOYACA	ALTIPLANO CUNDIBOYACENSE	AGENTE DEL ESTADO	POLICÍA NACIONAL	GUERRILLA	FARC			0	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GRUPOS ARMADOS ORGANIZADOS	0	5.909821031	-72.78101116
13199	CR007155	1999	05	21	54720	SARDINATA	NORTE DE SANTANDER	CATATUMBO	AGENTE DEL ESTADO	POLICÍA NACIONAL	GUERRILLA	ELN			0	0	0	0	0	0	6	0	0				0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	GRUPOS ARMADOS ORGANIZADOS	1	8.113765068	-72.85098176
13865	CR000186	1999	12	25	73686	SANTA ISABEL	TOLIMA	NORTE DEL TOLIMA	AGENTE DEL ESTADO	POLICÍA NACIONAL	GUERRILLA	ELN			0	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	GRUPOS ARMADOS ORGANIZADOS	1	4.713605767	-75.09793439
13973	CR008032	2000	01	31	19780	SUAREZ	CAUCA	NORTE DEL CAUCA	AGENTE DEL ESTADO	POLICÍA NACIONAL	GUERRILLA	FARC			0	0	0	0	0	0	2	1	0				0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	GRUPOS ARMADOS ORGANIZADOS	1	2.959701537	-76.69344711
16549	CR048228	2001	09	29	18410	LA MONTAÑITA	CAQUETA	FLORENCIA Y AREA DE INFLUENCIA	AGENTE DEL ESTADO	POLICÍA NACIONAL	GUERRILLA	FARC	GRUPO PARAMILITAR	AUTODEFENSAS UNIDAS DE COLOMBIA AUC	0	1	0	0	1	0	0	0	0				0	0	7	0	1	0	0	1	0	0	0	0	0	0	1	0	0	GRUPOS ARMADOS ORGANIZADOS	1	1.479172635	-75.43640776
1780	CR003013	1983	01	21	05665	SAN PEDRO DE URABA	ANTIOQUIA	URABA	AGENTE DEL ESTADO	POLICÍA NACIONAL	GUERRILLA	EPL			0	0	0	1	0	0	3	1	0				0	0	0	0	0	0	0	0	2	0	0	0	0	2	2	0	0	GRUPOS ARMADOS ORGANIZADOS	2	8.276886664	-76.38057789
2047	CR003023	1985	06	28	63302	GENOVA	QUINDIO	EJE CAFETERO	AGENTE DEL ESTADO	EJÉRCITO NACIONAL - POLICÍA NACIONAL	GUERRILLA	M19			0	0	0	0	0	0	1	0	0				0	0	0	2	8	0	0	10	5	0	0	0	0	5	15	0	2	GRUPOS ARMADOS ORGANIZADOS	19	4.207477888	-75.78981661
24926	CR048280	2006	08	04	73152	CASABIANCA	TOLIMA	NORTE DEL TOLIMA	GUERRILLA	FARC	GUERRILLA	FARC			0	0	0	0	0	0	0	1	0				0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GRUPOS ARMADOS ORGANIZADOS	0	5.078464508	-75.12096615
2693	CR003030	1987	02	03	41359	ISNOS	HUILA	SUR DEL HUILA	AGENTE DEL ESTADO	EJÉRCITO NACIONAL - POLICÍA NACIONAL	GUERRILLA	QUINTÍN LAME			0	0	0	0	0	0	0	0	0				0	0	0	1	0	0	0	1	6	0	0	0	0	6	7	0	0	FUERZAS ARMADAS ESTATALES	7	1.92946706	-76.21763745
3350	CR000038	1988	05	27	68152	CARCASI	SANTANDER	PROVINCIA DE GARCIA ROVIRA	AGENTE DEL ESTADO	POLICÍA NACIONAL	GUERRILLA	ELN			0	0	0	0	0	0	0	0	0				0	0	3	0	2	0	0	2	0	0	0	0	0	0	2	0	0	GRUPOS ARMADOS ORGANIZADOS	2	6.628732408	-72.62708287
34578	CR017016	0000	06	24	00000	SIN INFORMACION	SIN INFORMACION	SIN INFORMACION	AGENTE DEL ESTADO	POLICÍA NACIONAL	GUERRILLA	M19			0	0	0	0	0	0	0	1	0				0	0	3	0	1	0	0	0	0	0	0	0	0	0	1	0	0	GRUPOS ARMADOS ORGANIZADOS	2	4	-72
34579	CR014112	0000	10	23	86757	SAN MIGUEL	PUTUMAYO	BAJO PUTUMAYO	AGENTE DEL ESTADO	EJÉRCITO NACIONAL	GUERRILLA	FARC			0	0	0	0	0	0	0	0	0				0	0	0	0	4	0	0	4	0	0	0	0	0	0	4	0	2	GRUPOS ARMADOS ORGANIZADOS	12	0.277693067	-76.92771376
34580	CR007228	1958	03	00	19821	TORIBIO	CAUCA	NORTE DEL CAUCA	AGENTE DEL ESTADO	POLICÍA NACIONAL	BANDOLERISMO	NO IDENTIFICADO			0	0	0	0	0	0	3	0	0				0	0	0	0	13	0	0	13	0	0	0	0	2	2	15	0	9	GRUPOS ARMADOS ORGANIZADOS	24	2.951450409	-76.27112721
