ID Caso	ID Caso Relacionado	Año	Mes	Día	Código DANE de Municipio	Municipio	Departamento	Región	Modalidad	Presunto Responsable	Descripción Presunto Responsable	Abandono o Despojo Forzado de Tierras	Amenaza o Intimidación	Ataque Contra Misión Médica	Confinamiento o Restricción a la Movilidad	Desplazamiento Forzado	Extorsión	Lesionados Civiles	Pillaje	Tortura	Violencia Basada en Género	Otro Hecho Simultáneo	Total Combatientes	Total Civiles	Total de Víctimas del Caso	Tipo de Armas	Latitud	Longitud
185266	CR004878	1977	01	01	11001	"BOGOTA, D.C."	"BOGOTA, D. C."	AREA METROPOLITANA DE BOGOTA	ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO	GUERRILLA	M19	0	0	0	0	0	0	0	0	0			0	0	0	ARTEFACTO EXPLOSIVO	4.65017303	-74.107359
185267		1978	08	13	18001	FLORENCIA	CAQUETA	FLORENCIA Y AREA DE INFLUENCIA	ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO	GUERRILLA	M19	0	0	0	0	0	0	0	0	0			0	0	0	ARTEFACTO EXPLOSIVO	1.61792293	-75.60856043
185268	CR012154	1982	08	01	76001	CALI	VALLE DEL CAUCA	SUR DEL VALLE	ATAQUE A OBJETIVO MILITAR CON EFECTO INDISCRIMINADO	GUERRILLA	M19	0	0	0	0	0	0	6	0	0			0	0	0	ARTEFACTO EXPLOSIVO	3.414414305	-76.52156515
185269		1991	06	01	17001	MANIZALES	CALDAS	EJE CAFETERO	ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO	GUERRILLA	EPL	0	1	0	0	0	0	0	0	0			0	4	4	ARTEFACTO EXPLOSIVO	5.057688197	-75.49104898
185271	CR005155	1989	11	27	25754	SOACHA	CUNDINAMARCA	AREA METROPOLITANA DE BOGOTA	ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO	GRUPO PARAMILITAR	NO IDENTIFICADO	0	0	0	0	0	0	0	0	0			0	107	107	ARTEFACTO EXPLOSIVO	4.585491658	-74.21452753
185272	CR005159	1998	12	12	68001	BUCARAMANGA	SANTANDER	PROVINCIA DE SOTO	ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO	GUERRILLA	DISIDENCIA EPL	0	0	0	0	0	0	0	0	0			0	0	0	ARTEFACTO EXPLOSIVO	7.116267276	-73.13259818
185273	CR018882	1976	02	03	11001	"BOGOTA, D.C."	"BOGOTA, D. C."	AREA METROPOLITANA DE BOGOTA	ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO	GUERRILLA	EPL	0	0	0	0	0	0	0	0	0			0	0	0	ARTEFACTO EXPLOSIVO	4.65017303	-74.107359
185274	CR005127	1978	02	12	11001	"BOGOTA, D.C."	"BOGOTA, D. C."	AREA METROPOLITANA DE BOGOTA	ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO	GUERRILLA	EPL	0	0	0	0	0	0	0	0	0			0	0	0	ARTEFACTO EXPLOSIVO	4.65017303	-74.107359
185275	CR000012	1978	02	17	11001	"BOGOTA, D.C."	"BOGOTA, D. C."	AREA METROPOLITANA DE BOGOTA	ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO	GUERRILLA	EPL	0	0	0	0	0	0	0	0	0			0	0	0	ARTEFACTO EXPLOSIVO	4.65017303	-74.107359
185276	CR005128	1978	05	29	68001	BUCARAMANGA	SANTANDER	PROVINCIA DE SOTO	ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO	DESCONOCIDO	NO APLICA	0	0	0	0	0	0	0	0	0		2 CAPTURADOS	0	0	0	ARTEFACTO EXPLOSIVO	7.116267276	-73.13259818
