ID Caso	ID Caso Relacionado	Año	Mes	Día	Código DANE de Municipio	Municipio	Departamento	Región	Modalidad	Presunto Responsable	Descripción Presunto Responsable	Abandono o Despojo Forzado de Tierras	Amenaza o Intimidación	Ataque Contra Misión Médica	Confinamiento o Restricción a la Movilidad	Desplazamiento Forzado	Extorsión	Lesionados Civiles	Pillaje	Tortura	Violencia Basada en Género	Otro Hecho Simultáneo	Total Combatientes	Total Civiles	Total Civiles y Combatientes	Total de Víctimas del Caso	Tipo de Armas	Tipo de Evento	Total Civiles y Combatientes Heridos	Latitud	Longitud
385018		0000	00	00	50313	GRANADA	META	ARIARI GUAYABERO	ATENTADO	GUERRILLA	NO IDENTIFICADA	0	0	0	0	0	0	0	0	0			1	0	1	1	ND	ATENTADO POR MAP	0	3.546694724	-73.70571533
444884		0000	00	00	68444	MATANZA	SANTANDER	PROVINCIA DE SOTO	INCIDENTE	GUERRILLA	EPL	0	0	0	0	0	0	0	0	0			0	1	1	1	MINAS ANTIPERSONAL  MAP 	MUNICIONES SIN EXPLOTAR	0	7.323175124	-73.01556564
444929		0000	00	00	81000	SIN INFORMACION	ARAUCA		ATENTADO	DESCONOCIDO	NO APLICA	0	0	0	0	0	0	0	0	0			0	0	1	1	MINAS ANTIPERSONAL  MAP 	ATENTADO POR MAP	0	6.569577215	-70.96732394
444961		0000	00	00	00000	SIN INFORMACION	SIN INFORMACION	SIN INFORMACION	ATENTADO	GUERRILLA	NO IDENTIFICADA	0	0	0	0	0	0	0	0	0			0	1	1	1	ARTEFACTOS EXPLOSIVOS IMPROVISADOS  AEI 	ATENTADO POR AIE	0	4	-72
444967		0000	00	00	05079	BARBOSA	ANTIOQUIA	VALLE DE ABURRA	ATENTADO	DESCONOCIDO	NO APLICA	0	0	0	0	0	0	0	0	0			0	1	1	1	ARTEFACTOS EXPLOSIVOS IMPROVISADOS  AEI 	ATENTADO POR AIE	0	6.472849787	-75.28427467
444969		0000	00	00	05172	CHIGORODO	ANTIOQUIA	URABA	AFECTACIÓN	GRUPO ARMADO NO IDENTIFICADO	PRESENCIA GAO SIN ATRIBUCIÓN	0	0	0	0	0	0	0	0	0			0	1	1	1	MUNICIONES SIN EXPLOTAR  MUSE 	AFECTACIÓN POR MUSE	0	7.666300439	-76.6812164
445054		0000	04	02	50325	MAPIRIPAN	META	ALTILLANURA	ATENTADO	GUERRILLA	FARC	0	0	0	0	1	0	0	0	0			0	1	1	1	MINAS ANTIPERSONAL  MAP 	ATENTADO POR MAP	0	2.896439137	-72.13564487
445090		0000	00	00	00000	SIN INFORMACION	SIN INFORMACION	SIN INFORMACION	ATENTADO	DESCONOCIDO	NO APLICA	0	0	0	0	0	0	0	0	0			11	0	11	11	MINAS ANTIPERSONAL  MAP 	ATENTADO POR MAP	0	4	-72
445334		0000	00	00	00000	SIN INFORMACION	SIN INFORMACION	SIN INFORMACION	SIN INFORMACIÓN	DESCONOCIDO	NO APLICA	0	0	0	0	0	0	0	0	0			0	0	0	1	ND	SIN INFORMACIÓN	0	4	-72
555139		0000	00	00	15776	SUTAMARCHAN	BOYACA	ALTIPLANO CUNDIBOYACENSE	AFECTACIÓN	AGENTE DEL ESTADO	EJÉRCITO NACIONAL	0	0	0	0	0	0	0	0	0			0	1	1	1	MUNICIONES SIN EXPLOTAR  MUSE 	AFECTACIÓN POR MUSE	0	5.619781419	-73.6205861
764700	CR2017764700	0000	00	00	08001	BARRANQUILLA	ATLANTICO	NORTE DE ATLANTICO	ATENTADO	DESCONOCIDO	NO APLICA	0	0	0	0	0	0	0	0	0			0	0	0	0	ARMA CORTO PUNZANTE - ARMA DE FUEGO - MOTOSIERRA	ATENTADO POR AIE	0	10.97592682	-74.79525905
743781		1953	01	31	85010	AGUAZUL	CASANARE	PIEDEMONTE LLANERO	SIN INFORMACIÓN	BANDOLERISMO	NO IDENTIFICADO	0	0	0	0	0	0	0	0	0			0	0	1	1	ND	SIN INFORMACIÓN	1	5.172690766	-72.54630026
743783		1953	02	02	85010	AGUAZUL	CASANARE	PIEDEMONTE LLANERO	SIN INFORMACIÓN	BANDOLERISMO	NO IDENTIFICADO	0	0	0	0	0	0	0	0	0			0	0	1	1	ND	SIN INFORMACIÓN	1	5.172690766	-72.54630026
743791		1953	05	10	00000	SIN INFORMACION	SIN INFORMACION	SIN INFORMACION	SIN INFORMACIÓN	BANDOLERISMO	NO IDENTIFICADO	0	0	0	0	0	0	0	0	0			0	0	1	1	ARTEFACTO EXPLOSIVO	SIN INFORMACIÓN	1	4	-72
554767		1958	08	07	76001	CALI	VALLE DEL CAUCA	SUR DEL VALLE	INCIDENTE	AGENTE DEL ESTADO	EJÉRCITO NACIONAL	0	0	0	0	0	0	0	0	0			1	0	1	1	ARTEFACTO EXPLOSIVO	MUNICIONES SIN EXPLOTAR	0	3.414414305	-76.52156515
742899		1959	09	01	70000	SIN INFORMACION	SUCRE		INCIDENTE	AGENTE DEL ESTADO	EJÉRCITO NACIONAL	0	0	0	0	0	0	14	0	0			0	1	15	1	ARTEFACTO EXPLOSIVO	OTRO ¿CUÁL?	0	9.064941448	-75.10981755
744167		1964	06	07	11001	"BOGOTA, D.C."	"BOGOTA, D. C."	AREA METROPOLITANA DE BOGOTA	ATENTADO	GRUPO ARMADO NO IDENTIFICADO	NO APLICA	0	0	0	0	0	0	0	0	0			0	1	1	1	ARTEFACTOS EXPLOSIVOS IMPROVISADOS  AEI 	ATENTADO POR AIE	0	4.65017303	-74.107359
744176		1964	06	18	73001	IBAGUE	TOLIMA	NORTE DEL TOLIMA	ATENTADO	GRUPO ARMADO NO IDENTIFICADO	NO APLICA	0	0	0	0	0	0	0	0	0			4	0	4	4	MINAS ANTIPERSONAL  MAP 	ATENTADO POR MAP	0	4.439608991	-75.19371478
301788		1970	02	20	11001	"BOGOTA, D.C."	"BOGOTA, D. C."	AREA METROPOLITANA DE BOGOTA	ATENTADO	GUERRILLA	NO IDENTIFICADA	0	0	0	0	0	0	0	0	0			0	0	2	2	ARTEFACTOS EXPLOSIVOS IMPROVISADOS  AEI 	ATENTADO POR AIE	2	4.65017303	-74.107359
301794		1971	12	07	15776	SUTAMARCHAN	BOYACA	ALTIPLANO CUNDIBOYACENSE	AFECTACIÓN	AGENTE DEL ESTADO	EJÉRCITO NACIONAL	0	0	0	0	0	0	0	0	0			0	1	1	1	ARTEFACTOS EXPLOSIVOS IMPROVISADOS  AEI 	AFECTACIÓN POR MUSE	0	5.619781419	-73.6205861
445063		1974	10	19	19110	BUENOS AIRES	CAUCA	NORTE DEL CAUCA	INCIDENTE	DESCONOCIDO	NO APLICA	0	0	0	0	0	0	0	0	0			2	0	2	2	ARTEFACTOS EXPLOSIVOS IMPROVISADOS  AEI 	DESMINADO MILITAR EN OPERACIONES	0	3.01542683	-76.64228059
534331		1976	09	12	15806	TIBASOSA	BOYACA	ALTIPLANO CUNDIBOYACENSE	AFECTACIÓN	AGENTE DEL ESTADO	EJÉRCITO NACIONAL	0	0	0	0	0	0	0	0	0			0	3	4	4	MUNICIONES SIN EXPLOTAR  MUSE 	AFECTACIÓN POR MUSE	0	5.747229977	-72.99944921
445335		1981	01	22	19212	CORINTO	CAUCA	NORTE DEL CAUCA	SIN INFORMACIÓN	DESCONOCIDO	NO APLICA	0	0	0	0	0	0	0	0	0			0	0	0	1	ND	SIN INFORMACIÓN	0	3.173815457	-76.26131419
534332		1981	05	14	05306	GIRALDO	ANTIOQUIA	OCCIDENTE ANTIOQUEÑO	AFECTACIÓN	AGENTE DEL ESTADO	EJÉRCITO NACIONAL	0	0	0	0	0	0	0	0	0			0	3	3	3	MUNICIONES SIN EXPLOTAR  MUSE 	AFECTACIÓN POR MUSE	0	6.680808016	-75.95215756
300176		1982	11	12	68780	SURATA	SANTANDER	PROVINCIA DE SOTO	ATENTADO	DESCONOCIDO	NO APLICA	0	0	0	0	0	0	0	0	0			0	0	0	1	MINAS ANTIPERSONAL  MAP 	ATENTADO POR MAP	0	7.366579569	-72.98423197
300174		1984	04	19	95001	SAN JOSE DEL GUAVIARE	GUAVIARE	ARIARI GUAYABERO	ATENTADO	DESCONOCIDO	NO APLICA	0	0	0	0	0	0	0	0	0			0	0	0	1	MINAS ANTIPERSONAL  MAP 	ATENTADO POR MAP	0	2.566428399	-72.63898622
