ID Caso	ID Caso Relacionado	Año	Mes	Día	Código DANE de Municipio	Municipio	Departamento	Región	Modalidad	Presunto Responsable	Descripción Presunto Responsable	Abandono o Despojo Forzado de Tierras	Amenaza o Intimidación	Ataque Contra Misión Médica	Confinamiento o Restricción a la Movilidad	Desplazamiento Forzado	Extorsión	Lesionados Civiles	Pillaje	Tortura	Violencia Basada en Género	Otro Hecho Simultáneo	Total de Víctimas del Caso	Forma de Vinculación	Tipo de Vinculación	Latitud	Longitud
152888		2004	04	00	05585	PUERTO NARE	ANTIOQUIA	MAGDALENA MEDIO	PERSUASIÓN	GRUPO PARAMILITAR	AUTODEFENSAS CAMPESINAS DEL MAGDALENA MEDIO	0	1	0	0	0	0	0	0	0			1	SIN INFORMACIÓN	RECLUTAMIENTO	6.219481089	-74.57168877
207556		2001	04	25	05756	SONSON	ANTIOQUIA	ORIENTE ANTIOQUEÑO	PERSUASIÓN	GRUPO PARAMILITAR	AUTODEFENSAS CAMPESINAS DEL MAGDALENA MEDIO	0	1	0	0	0	0	0	0	0			1	INDIVIDUAL	RECLUTAMIENTO	5.837681474	-74.82807326
209268		0000	00	00	05234	DABEIBA	ANTIOQUIA	OCCIDENTE ANTIOQUEÑO	DESCONOCIDA	GUERRILLA	NO IDENTIFICADA	0	0	0	0	0	0	0	0	0			1	INDIVIDUAL	RECLUTAMIENTO	7.00032194	-76.26297665
225057		1988	00	00	68689	SAN VICENTE DE CHUCURI	SANTANDER	MAGDALENA MEDIO	COACCIÓN	GUERRILLA	ELN	0	0	0	0	0	0	0	0	0			1	INDIVIDUAL	RECLUTAMIENTO	6.880382935	-73.41102393
228661		1998	02	15	66456	MISTRATO	RISARALDA	EJE CAFETERO	PERSUASIÓN	GUERRILLA	ERG	0	0	0	0	0	0	0	0	0		OCULTAMIENTO DE CADÁVER	1	INDIVIDUAL	RECLUTAMIENTO	5.416268487	-75.90432634
229622		1993	01	11	50001	VILLAVICENCIO	META	PIEDEMONTE LLANERO	ENGAÑO	GUERRILLA	NO IDENTIFICADA	0	0	0	0	0	0	0	0	0			1	INDIVIDUAL	RECLUTAMIENTO	4.1238615	-73.62709204
236057		1998	02	16	05660	SAN LUIS	ANTIOQUIA	ORIENTE ANTIOQUEÑO	PERSUASIÓN	GRUPO PARAMILITAR	AUTODEFENSAS UNIDAS DE COLOMBIA AUC	0	0	0	0	0	0	0	0	0			1	INDIVIDUAL	RECLUTAMIENTO	6.063828223	-74.80691316
238584		1998	12	01	66594	QUINCHIA	RISARALDA	EJE CAFETERO	PERSUASIÓN	GUERRILLA	DISIDENCIA EPL	0	0	0	0	0	0	0	0	0			1	INDIVIDUAL	RECLUTAMIENTO	5.34044568	-75.7304126
244955		2000	04	15	05837	TURBO	ANTIOQUIA	URABA	COACCIÓN	GRUPO PARAMILITAR	NO IDENTIFICADO	0	0	0	1	0	0	0	0	0			2	MÚLTIPLE	RECLUTAMIENTO	8.089116411	-76.72915844
252216		2001	07	01	73001	IBAGUE	TOLIMA	NORTE DEL TOLIMA	PERSUASIÓN	GRUPO PARAMILITAR	AUTODEFENSAS CAMPESINAS DEL MAGDALENA MEDIO	0	0	0	0	0	0	0	0	0			1	SIN INFORMACIÓN	RECLUTAMIENTO	4.439608991	-75.19371478
253262		2001	09	10	17541	PENSILVANIA	CALDAS	EJE CAFETERO	PERSUASIÓN	GUERRILLA	FARC	0	0	0	0	0	0	0	0	0			2	MÚLTIPLE	RECLUTAMIENTO	5.383280594	-75.16029852
254148		2001	10	28	73283	FRESNO	TOLIMA	NORTE DEL TOLIMA	PERSUASIÓN	GRUPO PARAMILITAR	NO IDENTIFICADO	0	0	0	0	0	0	0	0	0			2	MÚLTIPLE	RECLUTAMIENTO	5.153638261	-75.03562715
