ID Caso	ID Caso Relacionado	Año	Mes	Día	Código DANE de Municipio	Municipio	Departamento	Región	Modalidad	Presunto Responsable	Descripción Presunto Responsable	Abandono o Despojo Forzado de Tierras	Amenaza o Intimidación	Ataque Contra Misión Médica	Confinamiento o Restricción a la Movilidad	Desplazamiento Forzado	Extorsión	Lesionados Civiles	Pillaje	Tortura	Violencia Basada en Género	Otro Hecho Simultáneo	Total de Víctimas del Caso	Tipo de Armas	Latitud	Longitud
235240	CR040054	1997	12	03	17614	RIOSUCIO	CALDAS	EJE CAFETERO	RETENCIÓN/EJECUCIÓN	GRUPO PARAMILITAR	NO IDENTIFICADO	0	1	0	0	1	0	0	0	0		SEVICIA	1	ARMA CORTO PUNZANTE	5.423680913	-75.70206971
251906	CR021706	2001	06	10	68615	RIONEGRO	SANTANDER	MAGDALENA MEDIO	ASALTO	GRUPO PARAMILITAR	AUTODEFENSAS UNIDAS DE COLOMBIA AUC	0	1	0	0	0	0	0	0	2			2	ARMA DE FUEGO	7.265010486	-73.15014691
359623		0000	00	00	20570	PUEBLO BELLO	CESAR	SIERRA NEVADA DE SANTA MARTA	DESCONOCIDA	GRUPO POSDESMOVILIZACIÓN	NO IDENTIFICADO	0	0	0	0	0	0	0	0	0			1	ND	10.4150616	-73.58901062
359624		0000	00	00	00000	SIN INFORMACION	SIN INFORMACION	SIN INFORMACION	COERCIÓN	GUERRILLA	NO IDENTIFICADA	0	0	0	0	0	0	0	0	0			1	ND	4	-72
359625	CR004865	0000	00	00	54000	SIN INFORMACION	NORTE DE SANTANDER		COERCIÓN	GUERRILLA	FARC	0	0	0	0	0	0	0	0	0			1	ND	8.09513751	-72.88188297
359626		0000	00	00	00000	SIN INFORMACION	SIN INFORMACION	SIN INFORMACION	COERCIÓN	GUERRILLA	FARC	0	0	0	0	0	0	0	0	0			1	ND	4	-72
359627		0000	00	00	00000	SIN INFORMACION	SIN INFORMACION	SIN INFORMACION	ENGAÑO LABORAL	GUERRILLA	FARC	0	0	0	0	0	0	0	0	0			1	ND	4	-72
359628		0000	00	00	47268	EL RETEN	MAGDALENA	CIENAGA GRANDE DE SANTA MARTA	DESCONOCIDA	GUERRILLA	FARC	0	0	0	0	0	0	0	0	0			1	ND	10.61066766	-74.2684561
359629	CR004866	0000	00	00	86000	SIN INFORMACION	PUTUMAYO		RETENCIÓN	GUERRILLA	FARC	0	0	0	0	0	0	1	0	0	MATRIMONIO O COHABITACIÓN FORZADA		1	ND	4	-72
359630	CR047877	0000	00	00	00000	SIN INFORMACION	SIN INFORMACION	SIN INFORMACION	COERCIÓN	GUERRILLA	FARC	0	0	0	0	0	0	0	0	0			1	ND	4	-72
