ID Caso	Código DANE de Municipio	Municipio	Departamento	Año	Mes	Día	ID Persona	Sexo	Etnia	Ocupación	Calidad de la Víctima o la Baja	Tipo de Población Vulnerable	Militante Político	Fuerza o Grupo Armado Organizado al que Pertenece el Combatiente	Descripción Fuerza o Grupo Armado Organizado al que Pertenece el Combatiente	Edad	Latitud	Longitud
732861	15183	CHITA	BOYACA	1947	12	31	775146	SIN INFORMACION	NINGÚN GRUPO ÉTNICO	SIN INFORMACIÓN	SIN INFORMACIÓN		LIBERAL				6.187083	-72.471892
732861	15183	CHITA	BOYACA	1947	12	31	775148	SIN INFORMACION	NINGÚN GRUPO ÉTNICO	SIN INFORMACIÓN	SIN INFORMACIÓN		LIBERAL				6.187083	-72.471892
732861	15183	CHITA	BOYACA	1947	12	31	775149	SIN INFORMACION	NINGÚN GRUPO ÉTNICO	SIN INFORMACIÓN	SIN INFORMACIÓN		LIBERAL				6.187083	-72.471892
732861	15183	CHITA	BOYACA	1947	12	31	775152	SIN INFORMACION	NINGÚN GRUPO ÉTNICO	SIN INFORMACIÓN	SIN INFORMACIÓN		LIBERAL				6.187083	-72.471892
732861	15183	CHITA	BOYACA	1947	12	31	775154	SIN INFORMACION	NINGÚN GRUPO ÉTNICO	SIN INFORMACIÓN	SIN INFORMACIÓN		LIBERAL				6.187083	-72.471892
732861	15183	CHITA	BOYACA	1947	12	31	775155	SIN INFORMACION	NINGÚN GRUPO ÉTNICO	SIN INFORMACIÓN	SIN INFORMACIÓN		LIBERAL				6.187083	-72.471892
732861	15183	CHITA	BOYACA	1947	12	31	775156	SIN INFORMACION	NINGÚN GRUPO ÉTNICO	SIN INFORMACIÓN	SIN INFORMACIÓN		LIBERAL				6.187083	-72.471892
732861	15183	CHITA	BOYACA	1947	12	31	775158	SIN INFORMACION	NINGÚN GRUPO ÉTNICO	SIN INFORMACIÓN	SIN INFORMACIÓN		LIBERAL				6.187083	-72.471892
732861	15183	CHITA	BOYACA	1947	12	31	775160	SIN INFORMACION	NINGÚN GRUPO ÉTNICO	SIN INFORMACIÓN	SIN INFORMACIÓN		LIBERAL				6.187083	-72.471892
732861	15183	CHITA	BOYACA	1947	12	31	775161	SIN INFORMACION	NINGÚN GRUPO ÉTNICO	SIN INFORMACIÓN	SIN INFORMACIÓN		LIBERAL				6.187083	-72.471892
