ZONA	ZONA -DIM	DIRECCION	CIUDAD	TELEFONO	LOCATION	CORREO ELECTRÓNICO			lat	lon
1	Zona 01	Cl 25 Cra 1 barrio el Dorado	Tunja	(601) - 3208327124	"(5.53598, -73.34987)"	zona1@buzonejercito.mil.co			5.53598	-73.34987
1	6	Cl 7 Nº 6-05 Barrio ricaurte	Chiquinquira	(601) - 3208328458	"(5.60998, -73.82092)"	dim06@buzonejercito.mil.co			5.60998	-73.82092
1	7	Carrera 11bN°140a-64	Tunja	(601) - 3203912367	"(5.53598, -73.34987)"	dim07@buzonejercito.mil.co			5.53598	-73.34987
1	8	Cra 11 30-00 KM4 VIA IZA	SOGAMOSO	(601) - 3203912368	"(5.67953, -72.95654)"	dim08@buzonejercito.mil.co			5.67953	-72.95654
1	49	Cra 9 N° 5 Impar Barrio El Gaitán Barbosa - Santander	Barbosa	(601) - 3208328461	"(5.92906, -73.61982)"	dim49@buzonejercito.mil.co			5.92906	-73.61982
2	Zona 02	Cl 79#68 00 Batallon paraiso	Barranquilla	(601) - 3208327129	"(11.010175, -74.80385)"	zona2@buzonejercito.mil.co			11.010175	-74.80385
2	10	Cl 79#68 00 Batallon paraiso	Barranquilla	(601) - 3208322045	"(11.01173, -74.80377)"	dim10@buzonejercito.mil.co			11.01173	-74.80377
2	12	Cra 4 Cl 34- 00 km 1 Via al Rodadero Batallon Cordoba	Santa Marta	(601) - 3203911143	"(11.22908, -74.2151)"	dim12@buzonejercito.mil.co			11.22908	-74.2151
2	14	Transversal 52 # 17-150 Barrio el Bosque	Cartagena	(601) - 3203930176	"(10.39298, -75.52593)"	dim14@buzonejercito.mil.co			10.39298	-75.52593
2	15	Cl 13 C N° 21 -06 Avenida Pan de Azucar Barrio la Popa	Valledupar	(601) - 3208329650	"(10.46271, -73.27619)"	dim15@buzonejercito.mil.co			10.46271	-73.27619
2	44	Cl 79 Cra 68  Batallon Paraiso BAPOM N°2	Barranquilla	(601) - 3203930173	"(11.01168, -74.80352)"	dim44@buzonejercito.mil.co			11.01168	-74.80352
2	45	Km 5 Via Riohacha-Maicao	Riohacha	(601) - 3208329656	"(11.51341, -72.8672)"	dim45@buzonejercito.mil.co			11.51341	-72.8672
3	Zona 03	CRA 80 # 4-26	CALI	(601) - 3208327162	"(3.38623, -76.54507)"	zona3@buzonejercito.mil.co			3.38623	-76.54507
3	16	CRA 80 # 4-26	CALI	(601) - 3203930169	"(3.38623, -76.54507)"	dim16@buzonejercito.mil.co			3.38623	-76.54507
3	17	CRA 80 # 4-26	CALI	(601) - 3203928898	"(3.38623, -76.54507)"	dim17@buzonejercito.mil.co			3.38623	-76.54507
