DEPARTAMENTO	LONGITUD	LATITUD	NUM DESAPARECIDOS
AMAZONAS	-71.33589415	-1.439452191	123
ANTIOQUIA	-75.39342598	6.838924179	24938
ARAUCA	-71.05642958	6.663580978	1649
"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA"	-81.71414914	12.54784952	94
ATLÁNTICO	-74.94531619	10.70698737	3340
BOGOTÁ	-74.08898113	4.646896519	55376
BOLÍVAR	-74.69255537	9.244653949	2458
BOYACA	-73.14093645	5.459127039	2911
CALDAS	-75.34060443	5.297433533	2358
CAQUETÁ	-74.08341923	0.840647996	5367
CASANARE	-71.77621821	5.365885822	3069
CAUCA	-76.8693739	2.550179531	1772
CESAR	-73.65003943	9.282951174	2133
CHOCÓ	-76.94816502	5.865829676	3245
CÓRDOBA	-75.79345227	8.296485953	2069
CUNDINAMARCA	-74.41516055	5.377313403	7136
GUAINÍA	-68.74869136	2.821478024	115
GUAVIARE	-72.2330598	2.032284864	2600
HUILA	-75.54869502	2.533436478	3235
LA GUAJIRA	-71.88672734	11.89292021	928
MAGDALENA	-74.46428388	10.07205798	4178
META	-73.11206819	3.410448189	7991
NARIÑO	-77.94493981	1.580588264	4831
NORTE DE SANTANDER	-72.93201945	8.00998871	6546
PUTUMAYO	-76.13525984	0.671010336	2968
QUINDÍO	-75.6798629	4.467171877	2056
RISARALDA	-75.62903795	4.810904616	5589
SANTANDER	-73.50543778	6.643437704	4360
SUCRE	-75.10147847	9.115636326	947
TOLIMA	-75.21138292	4.075325021	4493
VALLE DEL CAUCA	-76.53975521	3.670371301	16852
VAUPÉS	-70.65214735	0.686307423	96
VICHADA	-69.39751915	4.896031395	550
