DEPARTAMENTO	123XTIC	C. DE RELEVO	CONVERTIC	LEGADO GABO	ANALITICA DATOS	CIBERSEGURIDAD	CIENCIA DATOS	MISION TIC	PROGRAMACION	RUTA STEM	TALENTO	TUTOTIC	LONGITUD	LATITUD
AMAZONAS	7648	56	0	1	5	0	0	12	2274	1271	0	0	-71.33589415233932	-1.4394521907342235
ANTIOQUIA	29243	40423	803	21	838	150	20	5064	44775	17166	194	387	-75.39342597634132	6.838924178854292
ARAUCA	6709	459	5	2	25	0	4	124	705	552	0	286	-71.05642957543074	6.663580978144819
ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA	1300	44	0	24	7	1	0	24	1297	3	0	35	-81.71414913859633	12.547849522937288
ATLÁNTICO	14102	22076	339	24	290	26	98	2034	42794	4321	11	112	-74.94531619198393	10.706987366449544
BOGOTÁ	49626	129637	5550	334	956	451	676	14219	70274	13683	471	1857	-74.08898112518904	4.646896519428383
BOLÍVAR	42410	5041	295	171	181	6	30	1219	21102	4374	1	42	-74.69255537175471	9.244653949071475
BOYACA	26381	10189	79	3	316	19	29	1507	4901	13078	13	380	-73.14093645072651	5.459127039482073
CALDAS	11713	1481	113	94	171	15	34	920	4168	2079	4	558	-75.34060442981554	5.29743353324651
CAQUETÁ	0	3516	557	2	37	1	1	136	5694	681	0	393	-74.08341922533566	0.840647995515423
CASANARE	1114	3464	92	3	71	9	2	360	1913	811	0	14	-71.7762182126104	5.3658858220530785
CAUCA	3226	2734	39	14	236	20	34	703	5054	9095	31	3895	-76.86937390375753	2.5501795310869446
CESAR	3766	4419	59	8	93	1	14	966	17336	2261	0	44	-73.65003943019653	9.28295117358407
CHOCÓ	15072	325	0	2	27	1	1	76	1811	576	0	2351	-76.94816502227454	5.865829676156597
CÓRDOBA	490	2192	475	4	142	3	13	749	28481	2903	0	5392	-75.79345227155976	8.296485952846218
CUNDINAMARCA	39038	20660	5289	46	728	69	60	3996	22325	2489	2	1031	-74.4151605468086	5.3773134032513275
GUAINÍA	5154	73	0	1	1	0	0	5	30	63	0	0	-68.7486913608627	2.821478023944565
GUAVIARE	0	104	0	0	7	0	0	42	575	1362	0	0	-72.23305979953767	2.0322848638104416
HUILA	4937	8719	65	3	140	30	19	824	12645	2742	21	26	-75.548695021064	2.5334364783577694
LA GUAJIRA	9243	1144	2408	3	77	0	4	321	21852	2072	0	480	-71.88672734072105	11.892920213757822
MAGDALENA	1849	3752	271	6	75	0	7	656	21525	3611	0	5	-74.46428387981798	10.072057976484333
META	13577	9544	107	10	106	1	8	748	9860	616	0	24	-73.11206818543913	3.4104481889524507
NARIÑO	9567	8422	144	5	138	22	15	892	27843	15541	61	2842	-77.944939810961	1.5805882640528062
NORTE DE SANTANDER	13287	4081	89	2	178	7	22	874	21310	912	0	111	-72.9320194503089	8.009988710403883
PUTUMAYO	0	2177	2	3	28	1	0	103	1406	154	0	736	-76.13525984499421	0.6710103363780249
QUINDÍO	0	1838	9	3	87	4	17	674	1879	498	4	3261	-75.67986290343363	4.46717187650517
RISARALDA	12292	3265	155	29	153	31	28	1282	14330	23470	5	12237	-75.62903795101113	4.810904616269208
SANTANDER	10745	14718	16062	7	319	44	60	1963	16833	7825	7	132	-73.5054377848362	6.643437704244623
SUCRE	13214	1046	7375	1	119	4	7	383	14265	520	0	25	-75.1014784662205	9.115636326091764
TOLIMA	16303	9564	147	10	146	9	25	990	14565	4182	0	3467	-75.21138292242024	4.075325021202872
VALLE DEL CAUCA	14211	20394	559	31	485	84	118	4237	36193	6623	21	5175	-76.53975520878163	3.6703713007250207
VAUPÉS	60	1	0	1	0	0	0	5	91	57	0	0	-70.65214734646781	0.6863074234437698
VICHADA	36	114	0	0	2	0	0	9	44	355	0	0	-69.39751914992719	4.8960313949089596
