COD_DANE_MUNICIPIO	Suma de PRIORIDAD FINAL	long	lat	MUNICIPIO
5031	3	-75.08252428	6.912304726	Amalfi
5040	3	-75.14834842	7.074707669	Anor�
5045	2	-76.62596065	7.883417406	Apartad�
5107	5	-75.54813022	7.114882947	Brice�o
5120	5	-75.35235749	7.578315451	C�ceres
5172	6	-76.6812164	7.666300439	Chigorod�
5234	12	-76.26297665	7.00032194	Dabeiba
5250	5	-74.79909729	7.597521794	El Bagre
5361	12	-75.76467317	7.17162903	Ituango
5475	16	-76.81745806	6.977691853	Murind�
5480	8	-76.4358754	7.242875057	Mutat�
5490	3	-76.7845745	8.426135983	Necocl�
5495	5	-74.77647012	8.094128661	Nech�
5604	3	-74.69594426	7.026094053	Remedios
5665	2	-76.38057789	8.276886664	San Pedro de Urab�
5736	1	-74.70159107	7.079639679	Segovia
5790	6	-75.40140596	7.580120815	Taraz�
5837	5	-76.72915844	8.089116411	Turbo
5854	8	-75.43919844	7.16534	Valdivia
5893	2	-73.91245795	7.003940734	Yond�(Casabe)
5895	5	-74.86707471	7.488583075	Zaragoza
13006	1	-74.55706395	8.569110393	Ach�
13042	8	-73.94111583	8.458630438	Arenal
13160	3	-73.91465024	7.3783156	Cantagallo
13212	5	-74.82746263	9.586907918	C�rdoba
13244	1	-75.12121573	9.718579864	El Carmen de Bol�var
13458	7	-74.47170385	8.297136275	Montecristo
13473	5	-73.86814048	8.276306771	Morales
13549	3	-74.46240354	8.915452234	Pinillos
13654	5	-75.1210888	9.830219073	San Jacinto
13655	1	-74.72082643	8.251739321	San Jacinto del Cauca
13657	6	-75.08135293	9.953454388	San Juan Nepomuceno
13670	17	-73.92416855	7.476720672	San Pablo
13688	5	-74.05284001	7.962854831	Santa Rosa Del Sur
13744	3	-73.94731196	7.954176376	Simit�
13810	20	-74.26354688	8.557741117	Tiquisio(Puerto Rico)
18001	5	-75.60856043	1.61792293	Florencia
18029	3	-75.87837054	1.328522088	Albania
18094	2	-75.87247395	1.415786446	Bel�n de Los Andaqu�es
18150	5	-74.84719837	1.335134955	Cartagena del Chair�
18247	2	-75.28356287	1.679872476	El Doncello
18256	14	-75.32612346	1.570373283	El Paujil
18410	3	-75.43640776	1.479172635	LA Monta�ita
18460	2	-75.50696203	1.290427202	Mil�n
18479	2	-75.7245814	1.487623369	Morelia
18592	7	-75.15748874	1.908935073	Puerto Rico
18610	4	-75.9735381	1.33194848	San Jos� de Fragua
18753	5	-74.76734058	2.119786131	San Vicente del Cagu�n
18756	4	-75.25370431	0.698977525	Solano
18785	2	-75.61973409	0.876668003	Solita
19050	13	-77.24945028	2.256754909	Argelia
19075	3	-77.21589814	2.040478768	Balboa
19110	8	-76.64228059	3.01542683	Buenos Aires
19130	3	-76.57088427	2.623338254	Cajib�o
19137	3	-76.48444786	2.798130826	Caldono
19142	4	-76.40848704	3.034070778	Caloto
19212	1	-76.26131419	3.173815457	Corinto
19256	5	-76.81077225	2.45137136	El Tambo
19318	13	-77.88803347	2.572918366	Guapi
19355	3	-76.06350272	2.549182984	Inz�
19364	1	-76.32387818	2.777837347	Jambal�
19418	14	-77.24769154	2.846715932	L�pez(Micay)
19450	3	-77.16584432	1.775772495	Mercaderes
19455	1	-76.22886987	3.253095405	Miranda
19473	4	-76.62922056	2.754558567	Morales
19517	1	-75.97196451	2.641366768	P�ez(Belalcazar)
19532	4	-76.98097859	2.115670227	Pat�a(El Bordo)
19548	1	-76.52850592	2.641987578	Piendam�
19585	1	-76.49563894	2.342644047	Purac�(Coconuco)
19698	4	-76.48537029	3.016053901	Santander de Quilichao
19780	3	-76.69344711	2.959701537	Su�rez
19809	28	-77.66756524	2.777413702	Timbiqu�
19821	1	-76.27112721	2.951450409	Torib�o
20621	3	-73.17136291	10.38748954	La Paz(Robles)
20750	1	-73.18121808	10.33303286	San Diego
23580	1	-75.67179975	7.888834815	Puerto Libertador
23807	7	-76.05969659	8.170378684	Tierralta
23855	5	-76.15071869	8.255016584	Valencia
27001	2	-76.62596936	5.692195187	Quibd�
27006	2	-77.28009788	8.511405952	Acand�
27025	2	-76.97439919	5.516309869	Alto Baud�
27073	24	-76.41529299	5.41055496	Bagad�
27099	1	-76.88346949	6.556257444	Bojay�(Bellavista)
27135	1	-76.72685005	5.33533532	Cant�n del San Pablo
27150	13	-76.97071697	7.158402966	Carmen del Dari�n
27160	1	-76.60802121	5.37041379	Certeg�i
27205	1	-76.65068266	5.091003208	Condoto
27245	6	-76.14222986	5.899751361	El Carmen de Atrato
27361	1	-76.68518032	5.153946496	Itsmina
27413	7	-76.54521063	5.498150801	Llor�
27425	1	-76.78241422	5.994835471	Medio Atrato
27430	8	-76.94960604	5.193563954	Medio Baud�
27450	1	-76.69335794	5.100240747	Medio San Juan
27491	7	-76.60711814	4.956097009	N�vita
27600	1	-76.74101656	5.483727751	R�o Quito
27615	14	-77.11310959	7.436631552	Riosucio
27787	22	-76.55876602	5.264139949	Tad�
27810	2	-76.62840607	5.281095852	Uni�n Panamericana
41020	5	-75.31537288	2.522447597	Algeciras
41357	1	-75.63449748	2.64935907	Iquira
41378	1	-75.97976842	2.198246252	La Argentina
41668	1	-76.27035968	1.881081298	San Agust�n
44090	5	-73.30761979	11.2715694	Dibulla
44279	1	-72.84666224	10.88430067	Fonseca
44650	5	-73.00059321	10.76957868	San Juan Del Cesar
47001	7	-74.19089412	11.2294335	Santa Marta
47189	3	-74.24128616	11.00665688	Ci�naga
47288	7	-74.19134346	10.5140924	Fundaci�n
50325	5	-72.13564487	2.896439137	Mapirip�n
50330	2	-74.04368085	3.383924761	Mesetas
50350	10	-73.78706882	2.17821427	La Macarena
50370	3	-74.35154535	3.239652997	La Uribe
50450	3	-72.76004759	2.623082153	Puerto Concordia
50577	1	-73.37374343	3.269732439	Puerto Lleras
50590	14	-73.20651333	2.939743676	Puerto Rico
50711	5	-73.75116676	3.1257521	Vista Hermosa
52079	22	-78.13989493	1.670345194	Barbacoas
52233	4	-77.57814673	1.646845971	Cumbitara
52250	13	-78.109849	2.477550593	El Charco
52256	5	-77.33456556	1.742475705	El Rosario
52356	1	-77.64640075	0.827734241	Ipiales
52390	1	-78.19039205	2.398212191	La Tola
52405	5	-77.30621378	1.934516214	Leiva
52418	1	-77.52132596	1.494547405	Los Andes(Sotomayor)
52427	4	-78.18106078	1.765313671	Mag��(Payan)
52473	8	-78.45298541	2.507116414	Mosquera
52490	8	-78.32561871	2.347584488	Olaya Herrera
52612	10	-77.99544487	1.212931458	Ricaurte
52621	4	-78.24566252	1.697744768	Roberto Pay�n(San Jos�)
52696	7	-77.97908278	2.449548194	Santa B�rbara(Iscuande)
52835	45	-78.76385415	1.80711725	San Andres De Tumaco
52838	6	-77.61688638	1.085193359	T�querres
54206	12	-73.33720845	8.470368933	Convenci�n
54245	12	-73.44668712	8.510578756	El Carmen
54250	12	-73.09484592	8.576771365	El Tarra
54344	5	-73.14597535	8.321714562	Hacar�
54670	12	-73.20605269	8.40015189	San Calixto
54720	5	-72.80075838	8.082013666	Sardinata
54800	12	-73.28740929	8.436377338	Teorama
54810	13	-72.73591863	8.639548853	Tib�
63302	2	-75.78981661	4.207477888	G�nova
63548	3	-75.703317	4.33503789	Pijao
63690	1	-75.57084419	4.637156761	Salento
66456	2	-75.88286047	5.297059061	Mistrat�
68217	5	-73.04081675	6.294994914	Coromoro
68255	6	-73.20287793	7.470719593	El Play�n
70204	3	-75.35325675	9.494192858	Coloso
70230	1	-75.31269631	9.545351624	Chal�n
70418	1	-75.26874889	9.380228408	Los Palmitos
70473	2	-75.30619978	9.331319381	Morroa
70508	8	-75.22908444	9.526687239	Ovejas
70523	2	-75.54125915	9.333108298	Palmito
70713	8	-75.5230307	9.736932014	San Onofre
73067	2	-75.38253426	3.590635737	Ataco
73168	3	-75.48074305	3.723068376	Chaparral
73555	5	-75.64396147	3.19766147	Planadas
73616	3	-75.64438767	3.52986323	Rioblanco
76109	39	-77.0117402	3.875802437	Buenaventura
76250	1	-76.23708411	4.510452885	El Dovio
81001	23	-70.74635031	7.077358544	Arauca
81065	45	-71.42675118	7.026981415	Arauquita
81300	31	-71.7685578	6.797075753	Fortul
81591	4	-71.09774286	6.283851501	Puerto Rond�n
81736	27	-71.87233343	6.95385957	Saravena
81794	45	-71.75861086	6.449379486	Tame
85125	8	-71.76492254	6.156172443	Hato Corozal
85279	1	-72.76114606	5.229493648	Recetor
85315	3	-72.25027589	6.09697492	S�cama
85400	9	-72.16182524	5.829826597	T�mara
86320	6	-76.87302769	0.663816899	Orito
86568	14	-76.49727285	0.505046722	Puerto As�s
86569	4	-76.60483235	0.684841656	Puerto Caicedo
86571	3	-76.40852154	0.962922439	Puerto Guzm�n
86573	2	-74.78247103	-0.191872849	Puerto Legu�zamo
86757	8	-76.91241019	0.343272204	San Miguel
